Area,CO,Year
NL49007,404,2016
NL49012,340,2016
NL49014,279,2016
NL49551,348,2016
NL49553,326,2016
NL49561,278,2016
NL49007,343,2017
NL49012,369,2017
NL49014,244,2017
NL49551,307,2017
NL49553,279,2017
NL49561,242,2017
NL49007,357,2018
NL49012,382,2018
NL49014,302,2018
NL49551,359,2018
NL49553,295*,2018
NL49561,277,2018
NL49007,361,2019
NL49012,396,2019
NL49014,322,2019
NL49551,346,2019
NL49553,311,2019
NL49561,345,2019
NL49007,412,2020
NL49012,343,2020
NL49014,296,2020
NL49551,248,2020
NL49553,319,2020
NL49561,343,2020
NL49007,397,2021
NL49012,343,2021
NL49014,336,2021
NL49551,278,2021
NL49553,291,2021
NL49561,345,2021